0x100113d8: ret;
0x1008b143: rep ret;
0x100909c6: dec esp; pop esi; ret;
0x10136ce4: pop ebx; pop edi; ret;
0x1009bec1: inc ecx; dec eax; ret;
0x1012b412: dec eax; pop eax; ret;
0x1014ca20: sete al; pop ebx; ret;
0x101229f1: inc ecx; inc eax; ret;
0x10136d58: inc eax; pop esi; ret;
0x1015ae8c: adc cl, ch; sahf; ret;
0x10150415: dec eax; push es; ret;
0x101582b0: pop eax; pop ebx; ret;
0x10152cfd: dec eax; inc esp; ret;
0x10015a7c: idiv bh; push esi; ret;
0x10111b23: or [ebp+0x3B], al; ret;
0x10072464: push ecx; dec esp; ret;
0x1014e72c: ror [ecx-0x75], 1; ret;
0x1007b2d8: or [edx+0x3B], al; ret;
0x1003e67a: or [ecx+0x3B], al; ret;
0x10117673: add al, ch; xlatb; ret;
0x101278b9: or [edi+0x5E], bl; ret;
0x101585aa: or [esi-0x75], bl; ret;
0x1007a229: fadd [0x3B0D0000]; ret;
0x1003567f: fadd [0x3B0B0000]; ret;
0x101309f0: or ax, 0x0000FFFF; ret;
0x100faa33: add eax, ebp; aaa; ret;
0x1012e6dc: or [esi+0x5F], bl; ret;
0x10125233: fstp st0; pop ebx; ret;
0x10089221: inc ecx; push eax; ret;
0x100355ea: fadd [0x3B090000]; ret;
0x1002b29c: adc al, ch; cmpsb; ret;
0x10124662: or [esi+0x5B], bl; ret;
0x10132cc9: or [ebp+0x5B], bl; ret;
0x100e1d04: push ecx; pop esp; ret;
0x1011876f: nop; xor eax, eax; ret;
0x100e1cf1: inc ecx; push esp; ret;
0x100c78f9: les ecx, [ebx+edi]; ret;
0x100f793f: add [esi+0x59], bl; ret;
0x1005a112: les eax, [ebx+edi]; ret;
0x101047b9: add al, [edx+0x3A]; ret;
0x10124aa3: sbb [edi+0x5E], bl; ret;
0x10095892: or eax, 0x3B400575; ret;
0x10129527: or eax, 0x5B000000; ret;
0x1013ac58: or edx, 0xFFFFFFFF; ret;
0x101303b0: mov [eax+0x08], cl; ret;
0x10109347: cmp bl, [esi+0x5D]; ret;
0x1008b4fc: and [edi+0x3B], cl; ret;
0x1012b7ed: and [esi+0x5F], bl; ret;
0x1015dc66: pop ss; adc cl, ch; ret;
0x10088ba4: add [edi+0x3B], dl; ret;
0x1012b25a: adc [esi+0x5B], bl; ret;
0x1013ad5b: add esp, 0x04; cdq; ret;
0x1012f0ee: add [edi+0x5E], bl; ret;
0x10133e96: adc [edi-0x18], dl; ret;
0x1012a0b6: or eax, 0xFFFFFFFF; ret;
0x1010977f: enter 0x0033, 0x00; ret;
0x1003ae5d: sub [ecx+0x3B], al; ret;
0x1011e62a: enter 0xFFFF, 0x5E; ret;
0x10147b64: add [eax+0x3B], al; ret;
0x1012c6c3: adc [edi+0x5E], bl; ret;
0x100985e1: das; add [eax], al; ret;
0x100714cf: enter 0x1E22, 0x10; ret;
0x1009a221: add [ebx+0x59], bl; ret;
0x10152ea8: mov al, [ecx+0x01]; ret;
0x101368e9: add [esi+0x5B], bl; ret;
0x1012abce: sub [edi+0x5E], bl; ret;
0x10129bfb: add [ebp+0x5B], bl; ret;
0x1011e605: enter 0x0038, 0x00; ret;
0x1012ce0f: and [edi+0x5E], bl; ret;
0x10105221: cmp [edi+0x3B], dl; ret;
0x1003eaa8: or eax, 0x3B000000; ret;
0x10041ac0: pop es; add dh, dh; ret;
0x100b076c: add [eax-0x4C], ch; ret;
0x101570d9: int1; xor eax, eax; ret;
0x1012d22a: mov [edx+0x69], al; ret;
0x10125366: pop ds; adc al, ch; ret;
0x100973ce: les ebx, [ebx+edi]; ret;
0x1005eb1b: add [ecx+0x3B], al; ret;
0x10060842: enter 0x0000, 0x00; ret;
0x10150414: mov [eax+0x06], cl; ret;
0x100242e3: daa; add [eax], al; ret;
0x10012c82: adc [ecx-0x18], dl; ret;
0x10129fb6: sub [edx-0x18], dl; ret;
0x10031696: add [ecx-0x7D], dl; ret;
0x1004ae8b: add [edi+0x3B], bl; ret;
0x1012d596: sub [ebp+0x5E], bl; ret;
0x1013e711: add [ecx-0x7D], al; ret;
0x10064569: les edx, [edx+edi]; ret;
0x100591f6: adc [esi-0x18], dl; ret;
0x100f3a6a: sbb [ebx-0x75], al; ret;
0x10154e50: or eax, 0x101722A8; ret;
0x10010ffa: enter 0x1D62, 0x10; ret;
0x10073b3c: xor al, [esi+0x3A]; ret;
0x101374b6: add [esi-0x18], dl; ret;
0x100eb228: adc [edx-0x18], dl; ret;
0x10031647: add [edx-0x7D], dl; ret;
0x1001181b: add [esi+0x48], bl; ret;
0x10125273: add [edi+0x5B], bl; ret;
0x10061956: add [eax-0x18], dl; ret;
0x1005cdbf: idiv edi; push esi; ret;
0x10156d08: adc [ebx-0x18], dl; ret;
0x100245e3: aas; add [eax], al; ret;
0x10050e0e: les edx, [ebx+edi]; ret;
0x10128f02: cmp [edi+0x5E], bl; ret;
0x1014dcff: or [eax+0x18], ecx; ret;
0x1001aeef: enter 0x0013, 0xF6; ret;
0x1014e0a4: les eax, [ebx+eax]; ret;
0x10152fae: mov [eax+0x02], dl; ret;
0x10152edd: mov [eax+0x01], cl; ret;
0x10152f8f: mov [eax+0x01], dl; ret;
0x1012d222: mov [ecx+0x69], al; ret;
0x100279de: add [esi-0x75], bl; ret;
0x101305d9: or eax, 0xC0320276; ret;
0x1009d015: add [edx+0x03], dl; ret;
0x10140111: xor [esi-0x75], bl; ret;
0x100eb297: adc [ebp-0x18], dl; ret;
0x1015316a: add [esi+0x5F], bl; ret;
0x100bb514: push ecx; push esp; ret;
0x100cfdab: div [ebx+esi-0x7D]; ret;
0x100b0192: add [eax+0x68], ch; ret;
0x1001f496: add [esi-0x17], bl; ret;
0x10140f65: mov [ecx+0x04], dl; ret;
0x100e2362: enter 0x0012, 0x00; ret;
0x10107cf2: add [eax-0x3C], ch; ret;
0x10135c66: and dl, [esi-0x18]; ret;
0x10059998: xor [esi+0x3B], dl; ret;
0x1014a4da: add esp, 0x00000128; ret;
0x1002387c: mov eax, 0x00000001; ret;
0x101652f5: cmp eax, 0x59FFFF1E; ret;
0x100e1d32: or [ecx+0x00], 0x00; ret;
0x10045ac0: lea eax, [ecx+0x34]; ret;
0x10027235: mov eax, 0x101D5E74; ret;
0x1005cdbe: mov esi, 0xF6FFFFF7; ret;
0x10071f0e: out dx, al; pop esi; ret;
0x10010fe1: mov eax, 0x101D630C; ret;
0x100121ce: mov eax, 0x0007A120; ret;
0x10109f50: mov eax, 0x101E22DC; ret;
0x101090b8: add ebx, [esi+0x5D]; ret;
0x10030796: mov eax, 0x101D5E20; ret;
0x10011337: mov eax, 0x101D65D0; ret;
0x10121093: add esp, 0x000002DC; ret;
0x10072491: mov eax, 0x101D5E58; ret;
0x100124cb: mov eax, 0x0000006D; ret;
0x101331e2: xor al, al; pop esi; ret;
0x1013e81e: add esp, 0x000000E0; ret;
0x10052450: lea eax, [ecx+0x2C]; ret;
0x100650bb: add esp, 0x00000104; ret;
0x101213f1: add esp, 0x00000108; ret;
0x101303e1: add eax, 0x5B5D5E5F; ret;
0x1015f0f5: cmp eax, 0x59FFFF80; ret;
0x1003dd4d: add esp, 0x00002004; ret;
0x10093a1b: add eax, 0x5E204689; ret;
0x100e4fe8: add esp, 0x0000010C; ret;
0x1001bbe0: add eax, 0x5EFFC883; ret;
0x100524dd: mov eax, 0x101DF378; ret;
0x10011bed: mov eax, 0x101D6748; ret;
0x10125424: add esp, 0x00000090; ret;
0x10030772: mov eax, 0x101D5E90; ret;
0x101570ef: mov eax, 0x1020C008; ret;
0x1012d96a: mov eax, [ecx+0x10]; ret;
0x10044e59: add esp, 0x00000208; ret;
0x10011023: mov eax, 0x101D6244; ret;
0x100113af: mov eax, 0x101D64B0; ret;
0x10109f5c: mov eax, 0x101F883C; ret;
0x1014de46: add ebx, [edi+0x5E]; ret;
0x1012b258: mov edx, 0x5B5E1012; ret;
0x101538e4: xor al, al; pop ebx; ret;
0x1012218c: add esp, 0x000019C0; ret;
0x101212c3: add esp, 0x00000150; ret;
0x1001139d: mov eax, 0x101D64E0; ret;
0x101304dc: and eax, 0x00FFFFFF; ret;
0x100108e0: add esp, 0x00000228; ret;
0x1002464a: mov eax, 0x101DA39C; ret;
0x10011bf9: mov eax, 0x101D6730; ret;
0x10034ebf: add esp, 0x00002000; ret;
0x100bbbd6: and [eax+ebp*8], cl; ret;
0x1014dcdf: mov eax, [eax+0x08]; ret;
0x100bb1f2: adc al, ch; inc edx; ret;
0x1012ef1e: mov [edx+0x04], ecx; ret;
0x10045f03: mov eax, 0x101DD7B0; ret;
0x10152289: add eax, 0x5EC0335F; ret;
0x1006c671: mov eax, 0x101D561C; ret;
0x1006c6d8: mov eax, 0x101E1FBC; ret;
0x10076a0e: mov eax, 0x101D5DA8; ret;
0x101229f0: mov eax, [ecx+0x40]; ret;
0x10010fe7: mov eax, 0x101D6300; ret;
0x10011029: mov eax, 0x101D6234; ret;
0x10012053: mov eax, 0x0000000A; ret;
0x10012395: mov eax, 0x00000020; ret;
0x100113d3: mov eax, 0x101D5518; ret;
0x10011be1: mov eax, 0x101D6760; ret;
0x101353b9: add esp, 0x000100F4; ret;
0x10010f8d: mov eax, 0x101D641C; ret;
0x10011f07: mov eax, 0x00000086; ret;
0x100fd98a: add [ecx+0x3A], eax; ret;
0x10035680: add eax, 0x3B0B0000; ret;
0x10165d05: sub eax, 0x59FFFF14; ret;
0x101333c2: add esp, 0x00000084; ret;
0x10109ec0: lea eax, [ecx+0x44]; ret;
0x10131f10: add esp, 0x00000184; ret;
0x10011efb: mov eax, 0x0000006F; ret;
0x10011bf3: mov eax, 0x101D673C; ret;
0x10072485: mov eax, 0x101D5E84; ret;
0x10011a13: mov eax, 0x101D671C; ret;
0x100f83d7: add esp, 0x00002680; ret;
0x10011b0b: mov eax, 0x101D62C8; ret;
0x10141ff3: add esp, 0x00000148; ret;
0x10011a19: mov eax, 0x101D6708; ret;
0x10071f41: mov eax, 0x101E2348; ret;
0x100409e5: mov eax, 0x101D57A8; ret;
0x100bb4c0: mov eax, [ecx+0x6C]; ret;
0x10011355: mov eax, 0x101D6594; ret;
0x10010f9f: mov eax, 0x101D63D8; ret;
0x100113c7: mov eax, 0x101D6480; ret;
0x10010ed4: add esp, 0x00004BC0; ret;
0x100609b0: lea eax, [ecx+0x30]; ret;
0x101229d0: mov eax, [ecx+0x44]; ret;
0x1001100b: mov eax, 0x101D6294; ret;
0x1010f306: add esp, 0x00001158; ret;
0x10011035: mov eax, 0x101D620C; ret;
0x10027271: mov eax, 0x101DA5F8; ret;
0x10134baa: adc [ebx+0x59], ebx; ret;
0x1009aea2: cmp al, 0xE8; movsb; ret;
0x1007249d: mov eax, 0x101D5E30; ret;
0x10133c53: add esp, 0x00000080; ret;
0x100985de: add esp, 0x00002FB0; ret;
0x10027265: mov eax, 0x101DA618; ret;
0x10076a08: mov eax, 0x101D5E68; ret;
0x10010fdb: mov eax, 0x101D6324; ret;
0x10011005: mov eax, 0x101D62A4; ret;
0x10163905: sub eax, 0x59FFFF38; ret;
0x1001c564: sbb eax, 0xE8535710; ret;
0x1013b7e9: add esp, 0x00001088; ret;
0x10010fd5: mov eax, 0x101D6338; ret;
0x10011f7f: mov eax, 0x0000007D; ret;
0x1001120f: mov eax, 0x101D6450; ret;
0x100b02c5: add esp, 0x00000124; ret;
0x100708de: add esp, 0x00000120; ret;
0x1001121b: mov eax, 0x101D6438; ret;
0x1013383e: add eax, 0x5E03B05F; ret;
0x10011e93: mov eax, 0x00000072; ret;
0x1008bb18: add esp, 0x00001000; ret;
0x10071f3b: mov eax, 0x101E2360; ret;
0x1013b80f: mov eax, 0x10200BD0; ret;
0x101663f5: cmp eax, 0x59FFFF0D; ret;
0x10024650: mov eax, 0x101DA394; ret;
0x100124e9: mov eax, 0x00000074; ret;
0x10166475: mov ebp, 0x59FFFF0C; ret;
0x10010f93: mov eax, 0x101D6404; ret;
0x10076a14: mov eax, 0x101D5D80; ret;
0x10072463: mov edx, [ecx+0x4C]; ret;
0x100124ef: mov eax, 0x0000008B; ret;
0x100106c7: mov [edx+ecx], 0x00; ret;
0x1001131f: mov eax, 0x101D6610; ret;
0x1010aaa2: mov [eax+eax], 0xF6; ret;
0x10010ff3: mov eax, 0x101D62DC; ret;
0x1014c4d8: mov edi, 0x321014C2; ret;
0x1008f7c0: mov eax, [ecx+0x70]; ret;
0x100e24ee: mov eax, 0x101D5E44; ret;
0x1015e278: mov edx, 0x59FFFF8E; ret;
0x10164ff5: cmp eax, 0x59FFFF21; ret;
0x10071f53: mov eax, 0x101E22F4; ret;
0x100124fb: mov eax, 0x00000080; ret;
0x10166415: sbb eax, 0x59FFFF0D; ret;
0x100bb570: mov eax, 0x00000008; ret;
0x10011343: mov eax, 0x101D65B8; ret;
0x10160f78: mov edx, 0x59FFFF61; ret;
0x10011b41: mov eax, 0x101D6368; ret;
0x100121b9: mov eax, 0x02FAF080; ret;
0x10011017: mov eax, 0x101D6268; ret;
0x1015ff78: mov edx, 0x59FFFF71; ret;
0x10087ba1: mov [eax+0x04], edx; ret;
0x1006c665: mov eax, 0x101DAC28; ret;
0x10097f33: mov edx, [ecx+0x3C]; ret;
0x1001239b: mov eax, 0x00000040; ret;
0x100124ad: mov eax, 0x0000006A; ret;
0x10165605: sub eax, 0x59FFFF1B; ret;
0x10089220: lea eax, [ecx+0x50]; ret;
0x100714d4: mov eax, 0x101E22C0; ret;
0x100769f6: mov eax, 0x101D5E0C; ret;
0x1004c6e0: mov eax, 0x00000005; ret;
0x1012f90c: add esp, 0x0000012C; ret;
0x10028490: mov eax, 0x000000CB; ret;
0x100524cb: mov eax, 0x101DF1D4; ret;
0x1013748d: and eax, 0x10168168; ret;
0x1010ef7c: add esp, 0x00002014; ret;
0x1014ddff: mov eax, [eax+0x1C]; ret;
0x100724af: mov eax, 0x101D5DF8; ret;
0x100e1b10: mov eax, [ecx+0x04]; ret;
0x100f6523: sbb eax, 0x68056A10; ret;
0x1005af04: sbb eax, 0x40E85010; ret;
0x100124c5: mov eax, 0x0000006C; ret;
0x1003fb7e: mov edx, 0xF6001175; ret;
0x10011379: mov eax, 0x101D653C; ret;
0x10011f79: mov eax, 0x00000032; ret;
0x10071f4d: mov eax, 0x101E2310; ret;
0x10011209: mov eax, 0x101D645C; ret;
0x10161215: sbb eax, 0x59FFFF5F; ret;
0x1001137f: mov eax, 0x101D652C; ret;
0x10011f01: mov eax, 0x00000085; ret;
0x10161ef5: cmp eax, 0x59FFFF52; ret;
0x10044d67: add esp, 0x00002638; ret;
0x10024638: mov eax, 0x101DA3B4; ret;
0x10097ee0: mov eax, [ecx+0x28]; ret;
0x100e9883: push es; add dh, dh; ret;
0x10011203: mov eax, 0x101D6468; ret;
0x10011319: mov eax, 0x101D6620; ret;
0x10120e79: add esp, 0x000003DC; ret;
0x1014c40e: adc eax, 0x5B000000; ret;
0x100409fd: mov eax, 0x101DD0F8; ret;
0x10024644: mov eax, 0x101DA3AC; ret;
0x10058e03: xor eax, 0x3B08408B; ret;
0x10109f56: mov eax, 0x101F8858; ret;
0x10011a31: mov eax, 0x101D66B8; ret;
0x10011397: mov eax, 0x101D64F0; ret;
0x1015c615: sbb eax, 0x59FFFFAB; ret;
0x1014115d: sub eax, 0xF6FFFFFF; ret;
0x1015b205: sub eax, 0x59FFFFBF; ret;
0x10012477: mov eax, 0x00000066; ret;
0x10161275: mov ebp, 0x59FFFF5E; ret;
0x100307b4: mov eax, 0x101D5DD4; ret;
0x100396c6: pop eax; add al, ch; ret;
0x10045ef7: mov eax, 0x101D5B38; ret;
0x10122a20: lea eax, [ecx+0x4C]; ret;
0x100121b3: mov eax, 0x00989680; ret;
0x1012ef8a: mov [ecx+0x04], edx; ret;
0x1015eaf5: cmp eax, 0x59FFFF86; ret;
0x100309e5: mov eax, 0x00000004; ret;
0x100724e5: mov eax, 0x101DA604; ret;
0x101580eb: mov [eax+0x14], ecx; ret;
0x1011fdf7: mov eax, 0x101F8168; ret;
0x100caa6a: sbb eax, 0xE8CF8B10; ret;
0x10165c75: mov ebp, 0x59FFFF14; ret;
0x100fa9c3: add eax, ebp; cmpsd; ret;
0x10041c80: mov eax, 0x000000D0; ret;
0x10011361: mov eax, 0x101D6578; ret;
0x101341bd: add esp, 0x00000244; ret;
0x1009bec0: lea eax, [ecx+0x48]; ret;
